L,N,J,V,W,unconstrained,nummeta,numstates,Ïµ,filling,ratio
12,9,1,4,0.02,false,9,19,0.15,0.75,0.47368421052631576
12,9,1,4,0.02,true,0,19,0.15,0.75,0.0
16,12,1,4,0.02,false,33,116,0.15,0.75,0.28448275862068967
16,12,1,4,0.02,true,2,116,0.15,0.75,0.017241379310344827
20,15,1,4,0.02,false,161,776,0.15,0.75,0.20747422680412372
20,15,1,4,0.02,true,3,776,0.15,0.75,0.003865979381443299
12,9,1,4,0.06324555320336758,false,9,19,0.15,0.75,0.47368421052631576
12,9,1,4,0.06324555320336758,true,0,19,0.15,0.75,0.0
16,12,1,4,0.06324555320336758,false,35,116,0.15,0.75,0.3017241379310345
16,12,1,4,0.06324555320336758,true,3,116,0.15,0.75,0.02586206896551724
20,15,1,4,0.06324555320336758,false,182,776,0.15,0.75,0.2345360824742268
20,15,1,4,0.06324555320336758,true,3,776,0.15,0.75,0.003865979381443299
12,9,1,4,0.11246826503806981,false,9,19,0.15,0.75,0.47368421052631576
12,9,1,4,0.11246826503806981,true,0,19,0.15,0.75,0.0
16,12,1,4,0.11246826503806981,false,52,116,0.15,0.75,0.4482758620689655
20,15,1,4,0.11246826503806981,false,237,776,0.15,0.75,0.30541237113402064
12,9,1,4,0.2,false,13,19,0.15,0.75,0.6842105263157895
12,9,1,4,0.2,true,0,19,0.15,0.75,0.0
16,12,1,4,0.2,false,61,116,0.15,0.75,0.5258620689655172
16,12,1,4,0.2,true,3,116,0.15,0.75,0.02586206896551724
20,15,1,4,0.2,false,278,776,0.15,0.75,0.3582474226804124
20,15,1,4,0.2,true,3,776,0.15,0.75,0.003865979381443299
12,9,1,4,0.35565588200778453,false,16,19,0.15,0.75,0.8421052631578947
12,9,1,4,0.35565588200778453,true,1,19,0.15,0.75,0.05263157894736842
16,12,1,4,0.35565588200778453,false,73,116,0.15,0.75,0.6293103448275862
20,15,1,4,0.35565588200778453,false,357,776,0.15,0.75,0.46005154639175255
12,9,1,4,0.6324555320336759,false,16,19,0.15,0.75,0.8421052631578947
12,9,1,4,0.6324555320336759,true,4,19,0.15,0.75,0.21052631578947367
16,12,1,4,0.6324555320336759,false,90,116,0.15,0.75,0.7758620689655172
16,12,1,4,0.6324555320336759,true,3,116,0.15,0.75,0.02586206896551724
20,15,1,4,0.6324555320336759,false,456,776,0.15,0.75,0.5876288659793815
20,15,1,4,0.6324555320336759,true,18,776,0.15,0.75,0.023195876288659795
12,9,1,4,1.1246826503806981,false,19,19,0.15,0.75,1.0
12,9,1,4,1.1246826503806981,true,4,19,0.15,0.75,0.21052631578947367
16,12,1,4,1.1246826503806981,false,112,116,0.15,0.75,0.9655172413793104
20,15,1,4,1.1246826503806981,false,626,776,0.15,0.75,0.8067010309278351
12,9,1,4,2.0,false,19,19,0.15,0.75,1.0
12,9,1,4,2.0,true,4,19,0.15,0.75,0.21052631578947367
16,12,1,4,2.0,false,116,116,0.15,0.75,1.0
16,12,1,4,2.0,true,3,116,0.15,0.75,0.02586206896551724
20,15,1,4,2.0,false,714,776,0.15,0.75,0.9201030927835051
20,15,1,4,2.0,true,20,776,0.15,0.75,0.02577319587628866
12,9,1,4,3.5565588200778455,false,19,19,0.15,0.75,1.0
12,9,1,4,3.5565588200778455,true,5,19,0.15,0.75,0.2631578947368421
16,12,1,4,3.5565588200778455,false,116,116,0.15,0.75,1.0
16,12,1,4,3.5565588200778455,true,16,116,0.15,0.75,0.13793103448275862
20,15,1,4,3.5565588200778455,false,776,776,0.15,0.75,1.0
12,9,1,4,6.324555320336759,false,19,19,0.15,0.75,1.0
12,9,1,4,6.324555320336759,true,17,19,0.15,0.75,0.8947368421052632
16,12,1,4,6.324555320336759,false,116,116,0.15,0.75,1.0
16,12,1,4,6.324555320336759,true,17,116,0.15,0.75,0.14655172413793102
20,15,1,4,6.324555320336759,false,776,776,0.15,0.75,1.0
20,15,1,4,6.324555320336759,true,39,776,0.15,0.75,0.05025773195876289
12,9,1,4,11.246826503806982,false,19,19,0.15,0.75,1.0
12,9,1,4,11.246826503806982,true,19,19,0.15,0.75,1.0
16,12,1,4,11.246826503806982,true,116,116,0.15,0.75,1.0
20,15,1,4,11.246826503806982,true,263,776,0.15,0.75,0.3389175257731959
12,9,1,4,20.0,false,19,19,0.15,0.75,1.0
12,9,1,4,20.0,true,19,19,0.15,0.75,1.0
16,12,1,4,20.0,false,116,116,0.15,0.75,1.0
16,12,1,4,20.0,true,116,116,0.15,0.75,1.0
20,15,1,4,20.0,false,776,776,0.15,0.75,1.0
20,15,1,4,20.0,true,776,776,0.15,0.75,1.0
16,12,1,4,35.56558820077846,true,116,116,0.15,0.75,1.0
20,15,1,4,35.56558820077846,true,776,776,0.15,0.75,1.0
12,9,1,4,63.245553203367585,false,19,19,0.15,0.75,1.0
12,9,1,4,63.245553203367585,true,19,19,0.15,0.75,1.0
16,12,1,4,63.245553203367585,false,116,116,0.15,0.75,1.0
16,12,1,4,63.245553203367585,true,116,116,0.15,0.75,1.0
20,15,1,4,63.245553203367585,false,776,776,0.15,0.75,1.0
20,15,1,4,63.245553203367585,true,776,776,0.15,0.75,1.0
12,9,1,4,200.0,false,19,19,0.15,0.75,1.0
12,9,1,4,200.0,true,19,19,0.15,0.75,1.0
16,12,1,4,200.0,false,116,116,0.15,0.75,1.0
16,12,1,4,200.0,true,116,116,0.15,0.75,1.0
20,15,1,4,200.0,false,776,776,0.15,0.75,1.0
20,15,1,4,200.0,true,776,776,0.15,0.75,1.0
