L,N,J,V,W,unconstrained,avrgdistance,stddistance,numsamples,normalV,filling,Î»
12,9,1,4,0.02,false,0.17731090224405854,5.643177931384638e-5,400,4.0,0.75,1
12,9,1,4,0.02,true,0.24843534689609995,2.2378093843804724e-5,400,4.0,0.75,1
16,12,1,4,0.02,false,0.20198179561240695,6.687182305457204e-5,30,4.0,0.75,1
16,12,1,4,0.02,true,0.2490436731846178,4.178352177516209e-5,30,4.0,0.75,1
20,15,1,4,0.02,false,0.219779945489785,5.649805284517756e-5,20,4.0,0.75,1
20,15,1,4,0.02,true,0.2494940844361399,1.4911672220017528e-5,20,4.0,0.75,1
12,9,1,4,0.03556558820077846,false,0.17580699557016893,4.5463755850273865e-5,400,4.0,0.75,1
16,12,1,4,0.03556558820077846,true,0.24842677630526028,5.1304584270445246e-5,30,4.0,0.75,1
20,15,1,4,0.03556558820077846,false,0.21846255928221017,8.0512883845124e-5,20,4.0,0.75,1
20,15,1,4,0.03556558820077846,true,0.24931020509421412,1.8661750453089373e-5,20,4.0,0.75,1
12,9,1,4,0.06324555320336758,false,0.17407973284072212,5.4138278992481335e-5,400,4.0,0.75,1
12,9,1,4,0.06324555320336758,true,0.2478955177402854,1.778547649740774e-5,400,4.0,0.75,1
16,12,1,4,0.06324555320336758,false,0.19747704140389422,0.00016021294691553556,30,4.0,0.75,1
16,12,1,4,0.06324555320336758,true,0.24777230364839908,5.635032432266506e-5,30,4.0,0.75,1
20,15,1,4,0.06324555320336758,false,0.2165188331578808,0.00010763617434320061,20,4.0,0.75,1
20,15,1,4,0.06324555320336758,true,0.24911924231141236,1.743641372577447e-5,20,4.0,0.75,1
12,9,1,4,0.11246826503806981,false,0.17029594593412092,0.00011429678293027292,400,4.0,0.75,1
16,12,1,4,0.11246826503806981,true,0.24696591051174638,5.445506404773716e-5,30,4.0,0.75,1
20,15,1,4,0.11246826503806981,false,0.21370528073905457,0.00018221800224140768,20,4.0,0.75,1
20,15,1,4,0.11246826503806981,true,0.24893443912065266,1.773097729380887e-5,20,4.0,0.75,1
12,9,1,4,0.2,false,0.16138917983165046,0.0002086137403611542,400,4.0,0.75,1
12,9,1,4,0.2,true,0.2465240202681969,2.7156879279747e-5,400,4.0,0.75,1
16,12,1,4,0.2,false,0.18575580146668555,0.00046229968671292204,30,4.0,0.75,1
16,12,1,4,0.2,true,0.24607105548222385,5.841763368333562e-5,30,4.0,0.75,1
20,15,1,4,0.2,false,0.2092381212104261,0.00037586590039644894,20,4.0,0.75,1
20,15,1,4,0.2,true,0.24871424817863402,2.069579956897367e-5,20,4.0,0.75,1
12,9,1,4,0.35565588200778453,false,0.14864126851905493,0.0002790120052692487,400,4.0,0.75,1
16,12,1,4,0.35565588200778453,true,0.2452642244065278,6.066354282027932e-5,30,4.0,0.75,1
20,15,1,4,0.35565588200778453,false,0.2020470534281676,0.0006118649159719329,20,4.0,0.75,1
20,15,1,4,0.35565588200778453,true,0.2484853586313623,1.939674710404923e-5,20,4.0,0.75,1
12,9,1,4,0.6324555320336759,false,0.13465412323237916,0.00030461055549498185,400,4.0,0.75,1
12,9,1,4,0.6324555320336759,true,0.2402153912254654,9.61867304184008e-5,400,4.0,0.75,1
16,12,1,4,0.6324555320336759,false,0.16411058741045784,0.0007765560534152685,30,4.0,0.75,1
16,12,1,4,0.6324555320336759,true,0.24440330480298075,5.447357733619701e-5,30,4.0,0.75,1
20,15,1,4,0.6324555320336759,false,0.19162102641191986,0.0008190964569472902,20,4.0,0.75,1
20,15,1,4,0.6324555320336759,true,0.24826154898498873,2.0423257611125487e-5,20,4.0,0.75,1
12,9,1,4,1.1246826503806981,false,0.11976134159537316,0.0003101144426454774,400,4.0,0.75,1
16,12,1,4,1.1246826503806981,true,0.24349291744534438,6.343988422131524e-5,30,4.0,0.75,1
20,15,1,4,1.1246826503806981,false,0.17857647414783454,0.0009875846531253952,20,4.0,0.75,1
20,15,1,4,1.1246826503806981,true,0.24780311548817488,3.792455496402883e-5,20,4.0,0.75,1
12,9,1,4,2.0,false,0.10149740304359936,0.0003462973001607204,400,4.0,0.75,1
12,9,1,4,2.0,true,0.22771761561393805,0.00010983745440743242,400,4.0,0.75,1
16,12,1,4,2.0,false,0.12532934556156072,0.0013428331724017974,30,4.0,0.75,1
16,12,1,4,2.0,true,0.24209315986980232,9.288398401388379e-5,30,4.0,0.75,1
20,15,1,4,2.0,false,0.1520025805403295,0.0019292647849459292,20,4.0,0.75,1
20,15,1,4,2.0,true,0.2468163060675533,7.595484276417327e-5,20,4.0,0.75,1
12,9,1,4,2.667042864326648,true,0.22516380578472078,0.00011852405988375158,400,4.0,0.75,1
16,12,1,4,2.667042864326648,false,0.11123989017925094,0.001525241894859082,30,4.0,0.75,1
12,9,1,4,3.5565588200778455,false,0.0811987506593657,0.0003892297640456587,400,4.0,0.75,1
12,9,1,4,3.5565588200778455,true,0.22225508729262683,0.00013974513342445932,400,4.0,0.75,1
16,12,1,4,3.5565588200778455,false,0.09675375792016819,0.00159640287544088,30,4.0,0.75,1
16,12,1,4,3.5565588200778455,true,0.239274661117331,0.00019075095735866153,30,4.0,0.75,1
20,15,1,4,3.5565588200778455,false,0.11334308701132807,0.0024188449951464573,20,4.0,0.75,1
20,15,1,4,3.5565588200778455,true,0.24508362579327442,0.0001268936373005568,20,4.0,0.75,1
12,9,1,4,4.742747411323311,true,0.21790914417763882,0.00020257182338504593,400,4.0,0.75,1
16,12,1,4,4.742747411323311,false,0.08369786890789174,0.001482890643046322,30,4.0,0.75,1
12,9,1,4,6.324555320336759,false,0.06216928685188251,0.00011783981817992792,4000,4.0,0.75,1
12,9,1,4,6.324555320336759,true,0.20873120439084072,0.00037190905365515244,400,4.0,0.75,1
16,12,1,4,6.324555320336759,false,0.07030522900459608,0.00016530153848676348,2000,4.0,0.75,1
16,12,1,4,6.324555320336759,true,0.23199589168176862,0.0005854640700914696,30,4.0,0.75,1
20,15,1,4,6.324555320336759,false,0.07989647947866065,0.002155125714635899,20,4.0,0.75,1
20,15,1,4,6.324555320336759,true,0.24209292676376665,0.00028030153798446107,20,4.0,0.75,1
12,9,1,4,8.433930068571645,true,0.19086602642744105,0.0006853789874989647,400,4.0,0.75,1
16,12,1,4,8.433930068571645,false,0.05840503527914594,0.0013066914163621635,30,4.0,0.75,1
12,9,1,4,11.246826503806982,false,0.04121564901284649,0.00012019044504076845,4000,4.0,0.75,1
12,9,1,4,11.246826503806982,true,0.163553965383886,0.0010105738101936928,400,4.0,0.75,1
16,12,1,4,11.246826503806982,false,0.04526838167158434,0.0001584552617222986,2000,4.0,0.75,1
16,12,1,4,11.246826503806982,true,0.1963380549316202,0.003070294708110913,30,4.0,0.75,1
20,15,1,4,11.246826503806982,false,0.050146763284884224,0.0017935674820076426,20,4.0,0.75,1
20,15,1,4,11.246826503806982,true,0.22286866307092373,0.0022667707580981467,20,4.0,0.75,1
12,9,1,4,14.997884186649117,true,0.13091326375453202,0.0011662385779608706,400,4.0,0.75,1
16,12,1,4,14.997884186649117,false,0.0359704407986202,0.0011929157847659897,30,4.0,0.75,1
12,9,1,4,20.0,false,0.024487141418248693,0.00010018299786754385,4000,4.0,0.75,1
12,9,1,4,20.0,true,0.09973152183707004,0.0011395808172135124,400,4.0,0.75,1
16,12,1,4,20.0,false,0.02635337201826371,0.0001262133953867153,2000,4.0,0.75,1
16,12,1,4,20.0,true,0.11727088524925554,0.004626969779209323,30,4.0,0.75,1
20,15,1,4,20.0,false,0.02926072677544018,0.0013309945445175305,20,4.0,0.75,1
20,15,1,4,20.0,true,0.13386159992228788,0.007051944463121801,20,4.0,0.75,1
12,9,1,4,26.67042864326648,true,0.07340379410785271,0.00104206922775816,400,4.0,0.75,1
16,12,1,4,26.67042864326648,false,0.021654437867404678,0.0008203687048776778,30,4.0,0.75,1
12,9,1,4,35.56558820077846,false,0.01392672322535428,7.717538953492637e-5,4000,4.0,0.75,1
12,9,1,4,35.56558820077846,true,0.05337655268873031,0.0009052002610964828,400,4.0,0.75,1
16,12,1,4,35.56558820077846,false,0.014668836499145159,9.462375213438099e-5,2000,4.0,0.75,1
16,12,1,4,35.56558820077846,true,0.061799282055541305,0.0033405898864000416,30,4.0,0.75,1
20,15,1,4,35.56558820077846,false,0.0167671264223396,0.0009722103092727972,20,4.0,0.75,1
20,15,1,4,35.56558820077846,true,0.06670641574252473,0.004071974315746671,20,4.0,0.75,1
12,9,1,4,47.4274741132331,true,0.038840220058840566,0.0007879254685889482,400,4.0,0.75,1
16,12,1,4,47.4274741132331,false,0.012291944852896437,0.0006960329847896774,30,4.0,0.75,1
12,9,1,4,63.245553203367585,false,0.007779784109257536,5.903885952488164e-5,4000,4.0,0.75,1
12,9,1,4,63.245553203367585,true,0.0284380798141317,0.000678162416244724,400,4.0,0.75,1
16,12,1,4,63.245553203367585,false,0.008121813472173044,7.224011894591272e-5,2000,4.0,0.75,1
16,12,1,4,63.245553203367585,true,0.03263146576395256,0.0022641334671974927,30,4.0,0.75,1
20,15,1,4,63.245553203367585,false,0.009722591174974997,0.0006472507627458064,20,4.0,0.75,1
20,15,1,4,63.245553203367585,true,0.03376075180714267,0.0027019526323236506,20,4.0,0.75,1
12,9,1,4,84.33930068571645,true,0.02113160151427266,0.0005997190942509992,400,4.0,0.75,1
16,12,1,4,84.33930068571645,false,0.007616561053424526,0.0005745223264302239,30,4.0,0.75,1
12,9,1,4,112.46826503806982,false,0.004316793032232777,4.423165632822647e-5,4000,4.0,0.75,1
12,9,1,4,112.46826503806982,true,0.015783192814684786,0.0005151342828924456,400,4.0,0.75,1
16,12,1,4,112.46826503806982,false,0.004460541006549853,5.426499212624413e-5,2000,4.0,0.75,1
16,12,1,4,112.46826503806982,true,0.01758889901423409,0.001622007645566786,30,4.0,0.75,1
20,15,1,4,112.46826503806982,false,0.005896024312331938,0.00044348197124121925,20,4.0,0.75,1
20,15,1,4,112.46826503806982,true,0.018955184897781932,0.0015648272074447627,20,4.0,0.75,1
12,9,1,4,149.97884186649117,true,0.01212022026052245,0.00046315876567232554,400,4.0,0.75,1
16,12,1,4,149.97884186649117,false,0.00443352921061164,0.0004905260361166274,30,4.0,0.75,1
12,9,1,4,200.0,false,0.002413379516371184,3.390960920723292e-5,4000,4.0,0.75,1
12,9,1,4,200.0,true,0.008820160078515844,0.000382113559808725,400,4.0,0.75,1
16,12,1,4,200.0,false,0.002491112985732882,4.0969162590664355e-5,2000,4.0,0.75,1
16,12,1,4,200.0,true,0.01009244121353198,0.0012028229643086083,30,4.0,0.75,1
20,15,1,4,200.0,false,0.003255440555687051,0.00034102656756429566,20,4.0,0.75,1
20,15,1,4,200.0,true,0.010780049703207851,0.0011877510130171357,20,4.0,0.75,1
