L,N,J,V,W,unconstrained,avrgdistance,stddistance,numsamples,filling
16,12,1,0.17782794100389226,0.2,false,0.9122999114341044,7.785528301453846e-5,20,0.75
16,12,1,0.17782794100389226,0.2,true,1.0,4.131822259694145e-18,20,0.75
16,12,1,0.1,0.2,false,0.910980442074177,8.124654877481048e-5,20,0.75
16,12,1,0.1,0.2,true,1.0,4.131822259694145e-18,20,0.75
16,12,1,0.31622776601683794,0.2,false,0.9147224080001276,5.171860864528064e-5,20,0.75
16,12,1,0.31622776601683794,0.2,true,0.9999997212546152,4.902100658356928e-8,20,0.75
16,12,1,0.5623413251903491,0.2,false,0.9166852382179533,4.4762085232368183e-5,20,0.75
16,12,1,0.5623413251903491,0.2,true,1.0,5.843279076974508e-18,20,0.75
16,12,1,1.0,0.2,false,0.9118079140528286,8.046129902532294e-5,20,0.75
16,12,1,1.0,0.2,true,0.9999924914793017,6.049384089167489e-7,20,0.75
16,12,1,1.7782794100389228,0.2,false,0.824330482080844,0.00019125203059129514,20,0.75
16,12,1,1.7782794100389228,0.2,true,0.9993063623684216,1.5088177040324582e-5,20,0.75
16,12,1,10.0,0.2,false,0.6324341081837768,0.0010409152344744424,20,0.75
16,12,1,10.0,0.2,true,0.971587031990358,5.712952601794385e-5,20,0.75
16,12,1,100.0,0.2,false,0.4430435153361524,0.0005045538522934294,20,0.75
16,12,1,100.0,0.2,true,0.9618765683726268,8.054336374236947e-5,20,0.75
16,12,1,17.78279410038923,0.2,false,0.5679733020443085,0.0009189729372507703,20,0.75
16,12,1,17.78279410038923,0.2,true,0.9669720075503886,7.609288825988833e-5,20,0.75
16,12,1,3.1622776601683795,0.2,false,0.7721197085901177,0.00039646894700465837,20,0.75
16,12,1,3.1622776601683795,0.2,true,0.9902480399230325,7.092185158237988e-5,20,0.75
16,12,1,31.622776601683793,0.2,false,0.5127817300327899,0.0008054853593638376,20,0.75
16,12,1,31.622776601683793,0.2,true,0.9644126982126394,8.26076528355401e-5,20,0.75
16,12,1,5.623413251903491,0.2,false,0.7034382942170562,0.0008466628687459247,20,0.75
16,12,1,5.623413251903491,0.2,true,0.9768769997067643,7.103068364261137e-5,20,0.75
16,12,1,56.23413251903491,0.2,false,0.4713024223247161,0.0006741830598780728,20,0.75
16,12,1,56.23413251903491,0.2,true,0.9627760766522971,8.153575373822597e-5,20,0.75
16,12,1,0.17782794100389226,0.35565588200778453,false,0.9077030872414001,0.00013053500315600872,20,0.75
16,12,1,0.17782794100389226,0.35565588200778453,true,0.9999999901018054,2.5388333477847068e-9,20,0.75
16,12,1,0.1,0.35565588200778453,false,0.905936884186124,0.00015452352800989972,20,0.75
16,12,1,0.1,0.35565588200778453,true,1.0,5.06042812206201e-18,20,0.75
16,12,1,0.31622776601683794,0.35565588200778453,false,0.9104289676220698,0.00012583043164788148,20,0.75
16,12,1,0.31622776601683794,0.35565588200778453,true,0.9999987105615755,1.3144533379412943e-7,20,0.75
16,12,1,0.5623413251903491,0.35565588200778453,false,0.9130231018728638,0.00011519601330260515,20,0.75
16,12,1,0.5623413251903491,0.35565588200778453,true,0.9999959653235095,3.1257304360363287e-7,20,0.75
16,12,1,1.0,0.35565588200778453,false,0.9067883820239162,0.00014609254693370125,20,0.75
16,12,1,1.0,0.35565588200778453,true,0.9999481188996772,1.907229842848091e-6,20,0.75
16,12,1,1.7782794100389228,0.35565588200778453,false,0.8151856672947524,0.0002240822080475398,20,0.75
16,12,1,1.7782794100389228,0.35565588200778453,true,0.9989451635946596,1.988130692310014e-5,20,0.75
16,12,1,10.0,0.35565588200778453,false,0.5838575271311451,0.0009479515815173947,20,0.75
16,12,1,10.0,0.35565588200778453,true,0.9682010873193239,7.824204150961375e-5,20,0.75
16,12,1,100.0,0.35565588200778453,false,0.4145676793673413,0.00047886959914665794,20,0.75
16,12,1,100.0,0.35565588200778453,true,0.9597133810221765,8.508734949342624e-5,20,0.75
16,12,1,17.78279410038923,0.35565588200778453,false,0.5204626473436303,0.0008871066228297647,20,0.75
16,12,1,17.78279410038923,0.35565588200778453,true,0.9642977826036148,7.518510259467513e-5,20,0.75
16,12,1,3.1622776601683795,0.35565588200778453,false,0.7433748304194142,0.0006914551249174645,20,0.75
16,12,1,3.1622776601683795,0.35565588200778453,true,0.9865397218377225,6.444788028860442e-5,20,0.75
16,12,1,31.622776601683793,0.35565588200778453,false,0.4700084349639118,0.0007724542437041644,20,0.75
16,12,1,31.622776601683793,0.35565588200778453,true,0.9618267072371589,7.972961192949424e-5,20,0.75
16,12,1,5.623413251903491,0.35565588200778453,false,0.6580524720071155,0.0010300119898819914,20,0.75
16,12,1,5.623413251903491,0.35565588200778453,true,0.9737735957370994,7.33132298542927e-5,20,0.75
16,12,1,56.23413251903491,0.35565588200778453,false,0.4348680978572035,0.000632623267853944,20,0.75
16,12,1,56.23413251903491,0.35565588200778453,true,0.9606018291265549,8.759961593419298e-5,20,0.75
16,12,1,0.17782794100389226,0.6324555320336759,false,0.8926477217107314,0.00045034879665465836,20,0.75
16,12,1,0.17782794100389226,0.6324555320336759,true,0.9999784449744779,2.0162135399369323e-6,20,0.75
16,12,1,0.1,0.6324555320336759,false,0.889024560418874,0.0005098776263960654,20,0.75
16,12,1,0.1,0.6324555320336759,true,0.9999821356059488,1.9674349490627855e-6,20,0.75
16,12,1,0.31622776601683794,0.6324555320336759,false,0.897283533796303,0.0003807566368558341,20,0.75
16,12,1,0.31622776601683794,0.6324555320336759,true,0.9999682410428521,2.158455744571981e-6,20,0.75
16,12,1,0.5623413251903491,0.6324555320336759,false,0.900544283523278,0.00035733336842402955,20,0.75
16,12,1,0.5623413251903491,0.6324555320336759,true,0.9999388288671669,3.3212915363408872e-6,20,0.75
16,12,1,1.0,0.6324555320336759,false,0.8943523469936991,0.00034631708394180865,20,0.75
16,12,1,1.0,0.6324555320336759,true,0.9998586083484107,4.473095934245454e-6,20,0.75
16,12,1,1.7782794100389228,0.6324555320336759,false,0.8033913975229151,0.000393011224055053,20,0.75
16,12,1,1.7782794100389228,0.6324555320336759,true,0.9981771729299673,3.676243984591725e-5,20,0.75
16,12,1,10.0,0.6324555320336759,false,0.5305824543697908,0.0010684252133590759,20,0.75
16,12,1,10.0,0.6324555320336759,true,0.9626017879350972,0.00014517731862287827,20,0.75
16,12,1,100.0,0.6324555320336759,false,0.3783546583757423,0.0006047034516400328,20,0.75
16,12,1,100.0,0.6324555320336759,true,0.9554455476185977,0.00013730202777842467,20,0.75
16,12,1,17.78279410038923,0.6324555320336759,false,0.4696674342279685,0.0009743640174282933,20,0.75
16,12,1,17.78279410038923,0.6324555320336759,true,0.9589909350346794,0.00015298064867823113,20,0.75
16,12,1,3.1622776601683795,0.6324555320336759,false,0.7057319001858467,0.0008830420432219574,20,0.75
16,12,1,3.1622776601683795,0.6324555320336759,true,0.9838957118895285,4.6978873075007435e-5,20,0.75
16,12,1,31.622776601683793,0.6324555320336759,false,0.42345097303250334,0.0008394890652079627,20,0.75
16,12,1,31.622776601683793,0.6324555320336759,true,0.956782042774039,0.00015146770942746005,20,0.75
16,12,1,5.623413251903491,0.6324555320336759,false,0.6025634624419474,0.0011085894126577512,20,0.75
16,12,1,5.623413251903491,0.6324555320336759,true,0.9687481319484907,0.0001248034467082009,20,0.75
16,12,1,56.23413251903491,0.6324555320336759,false,0.393866160048027,0.0006797526540761593,20,0.75
16,12,1,56.23413251903491,0.6324555320336759,true,0.9557499927535618,0.0001498319272569881,20,0.75
16,12,1,0.17782794100389226,1.1246826503806981,false,0.8561745833052672,0.0008526004962861345,20,0.75
16,12,1,0.17782794100389226,1.1246826503806981,true,0.9996924124629885,1.7473566835446006e-5,20,0.75
16,12,1,0.1,1.1246826503806981,false,0.8541827403071058,0.0008288894787168124,20,0.75
16,12,1,0.1,1.1246826503806981,true,0.999686756830968,1.8279420497732628e-5,20,0.75
16,12,1,0.31622776601683794,1.1246826503806981,false,0.8587742146920423,0.0009612424440804526,20,0.75
16,12,1,0.31622776601683794,1.1246826503806981,true,0.9996909297038684,1.5830140551347673e-5,20,0.75
16,12,1,0.5623413251903491,1.1246826503806981,false,0.8637171523798086,0.0008981050877504812,20,0.75
16,12,1,0.5623413251903491,1.1246826503806981,true,0.9996690784068338,1.3878507486656388e-5,20,0.75
16,12,1,1.0,1.1246826503806981,false,0.8547476851212551,0.0009780447806127847,20,0.75
16,12,1,1.0,1.1246826503806981,true,0.9994776875454928,1.4626373099187157e-5,20,0.75
16,12,1,1.7782794100389228,1.1246826503806981,false,0.7737565128784664,0.0008755140844792274,20,0.75
16,12,1,1.7782794100389228,1.1246826503806981,true,0.9966155715528469,4.550587211266274e-5,20,0.75
16,12,1,10.0,1.1246826503806981,false,0.4511881714134218,0.001669955791457841,20,0.75
16,12,1,10.0,1.1246826503806981,true,0.9514319103051226,0.000251783103594036,20,0.75
16,12,1,100.0,1.1246826503806981,false,0.3215767260919614,0.0010613107237929704,20,0.75
16,12,1,100.0,1.1246826503806981,true,0.9447715168056833,0.00027072709453640633,20,0.75
16,12,1,17.78279410038923,1.1246826503806981,false,0.39343670748782145,0.0014817778732032424,20,0.75
16,12,1,17.78279410038923,1.1246826503806981,true,0.9476536358118548,0.0002741741387861837,20,0.75
16,12,1,3.1622776601683795,1.1246826503806981,false,0.6560816466401351,0.0010904043041461062,20,0.75
16,12,1,3.1622776601683795,1.1246826503806981,true,0.9815630220839306,5.933146992586421e-5,20,0.75
16,12,1,31.622776601683793,1.1246826503806981,false,0.35605655254234836,0.0012249330180711818,20,0.75
16,12,1,31.622776601683793,1.1246826503806981,true,0.945979764953489,0.0002724847015324934,20,0.75
16,12,1,5.623413251903491,1.1246826503806981,false,0.5242005978841989,0.0016596806069377906,20,0.75
16,12,1,5.623413251903491,1.1246826503806981,true,0.959973393746999,0.00018266069148025849,20,0.75
16,12,1,56.23413251903491,1.1246826503806981,false,0.3334092843119051,0.001096566512106761,20,0.75
16,12,1,56.23413251903491,1.1246826503806981,true,0.9450244060914699,0.00027570288114962517,20,0.75
16,12,1,0.17782794100389226,11.246826503806982,false,0.2211975907817439,0.002306329910645225,20,0.75
16,12,1,0.17782794100389226,11.246826503806982,true,0.6131901092076355,0.004843739277726566,20,0.75
16,12,1,0.1,11.246826503806982,false,0.22009836596623683,0.002280284257558321,20,0.75
16,12,1,0.1,11.246826503806982,true,0.6048886906613624,0.00500493826020458,20,0.75
16,12,1,0.31622776601683794,11.246826503806982,false,0.22072106363564498,0.002287633300590251,20,0.75
16,12,1,0.31622776601683794,11.246826503806982,true,0.6281368623662541,0.004951057826116118,20,0.75
16,12,1,0.5623413251903491,11.246826503806982,false,0.21571146730680094,0.0021869925131023493,20,0.75
16,12,1,0.5623413251903491,11.246826503806982,true,0.6606743475604681,0.0051620200562614476,20,0.75
16,12,1,1.0,11.246826503806982,false,0.21371194057105497,0.0020905001868396604,20,0.75
16,12,1,1.0,11.246826503806982,true,0.7064876887645435,0.005482284606742147,20,0.75
16,12,1,1.7782794100389228,11.246826503806982,false,0.20911164677058952,0.0021621875957521003,20,0.75
16,12,1,1.7782794100389228,11.246826503806982,true,0.7572197303338042,0.005046531218600002,20,0.75
16,12,1,10.0,11.246826503806982,false,0.12323256885506184,0.0007584370659019907,20,0.75
16,12,1,10.0,11.246826503806982,true,0.5775624912249429,0.0029842289546468206,20,0.75
16,12,1,100.0,11.246826503806982,false,0.05697709652118921,0.0007985407796710451,20,0.75
16,12,1,100.0,11.246826503806982,true,0.439240431236124,0.004408920501016786,20,0.75
16,12,1,17.78279410038923,11.246826503806982,false,0.07983579873258231,0.000797873650499784,20,0.75
16,12,1,17.78279410038923,11.246826503806982,true,0.45337095090272606,0.00417605694231583,20,0.75
16,12,1,3.1622776601683795,11.246826503806982,false,0.1961787995403354,0.002019723087601412,20,0.75
16,12,1,3.1622776601683795,11.246826503806982,true,0.7910668472743073,0.004276171796600232,20,0.75
16,12,1,31.622776601683793,11.246826503806982,false,0.06119880659793807,0.0007698026245956859,20,0.75
16,12,1,31.622776601683793,11.246826503806982,true,0.4428667594900908,0.0042887665891081905,20,0.75
16,12,1,5.623413251903491,11.246826503806982,false,0.1672256056418037,0.001044423021552918,20,0.75
16,12,1,5.623413251903491,11.246826503806982,true,0.762811294731255,0.0026907698020562933,20,0.75
16,12,1,56.23413251903491,11.246826503806982,false,0.05822908998036992,0.0007921617873415411,20,0.75
16,12,1,56.23413251903491,11.246826503806982,true,0.43975991929309793,0.004349106201567621,20,0.75
16,12,1,0.17782794100389226,112.46826503806982,false,0.023855574457437148,0.0008852477168856468,20,0.75
16,12,1,0.17782794100389226,112.46826503806982,true,0.0717382608685612,0.0023142636373694905,20,0.75
16,12,1,0.1,112.46826503806982,false,0.02385148086498172,0.0009056875972693227,20,0.75
16,12,1,0.1,112.46826503806982,true,0.07046222857390574,0.002341866476427493,20,0.75
16,12,1,0.31622776601683794,112.46826503806982,false,0.024111342578323036,0.0008729312380091546,20,0.75
16,12,1,0.31622776601683794,112.46826503806982,true,0.07212219119552697,0.0022663910745081704,20,0.75
16,12,1,0.5623413251903491,112.46826503806982,false,0.024163069875165935,0.0008568553637932815,20,0.75
16,12,1,0.5623413251903491,112.46826503806982,true,0.0728180399983251,0.002232594441844525,20,0.75
16,12,1,1.0,112.46826503806982,false,0.024595996441910226,0.0008148970597091385,20,0.75
16,12,1,1.0,112.46826503806982,true,0.07235324226319392,0.0021282221847875706,20,0.75
16,12,1,1.7782794100389228,112.46826503806982,false,0.023620478183058558,0.0007451015986050601,20,0.75
16,12,1,1.7782794100389228,112.46826503806982,true,0.07434429999798708,0.002098882096581381,20,0.75
16,12,1,10.0,112.46826503806982,false,0.020800776914174698,0.0004184651381996301,20,0.75
16,12,1,10.0,112.46826503806982,true,0.07879144315986958,0.0021293188191382896,20,0.75
16,12,1,100.0,112.46826503806982,false,0.012069780240141072,0.0002179740732698468,20,0.75
16,12,1,100.0,112.46826503806982,true,0.04524849266982757,0.0015564190051742335,20,0.75
16,12,1,17.78279410038923,112.46826503806982,false,0.018974611858107258,0.0005226972240389277,20,0.75
16,12,1,17.78279410038923,112.46826503806982,true,0.06742341303677808,0.0018039835915402266,20,0.75
16,12,1,3.1622776601683795,112.46826503806982,false,0.024423755989393343,0.0006446187598457739,20,0.75
16,12,1,3.1622776601683795,112.46826503806982,true,0.0770817524479962,0.0020601985930738718,20,0.75
16,12,1,31.622776601683793,112.46826503806982,false,0.017429224510108844,0.0003408213604988801,20,0.75
16,12,1,31.622776601683793,112.46826503806982,true,0.07206274292916412,0.0017156207295239943,20,0.75
16,12,1,5.623413251903491,112.46826503806982,false,0.02466043219800166,0.0005451925719146907,20,0.75
16,12,1,5.623413251903491,112.46826503806982,true,0.07348826772226107,0.0017657872108553182,20,0.75
16,12,1,56.23413251903491,112.46826503806982,false,0.012844566733197896,0.000290499890848658,20,0.75
16,12,1,56.23413251903491,112.46826503806982,true,0.05720807447731463,0.0016917990037164147,20,0.75
16,12,1,0.17782794100389226,2.0,false,0.783579921747396,0.0017458415502275251,20,0.75
16,12,1,0.17782794100389226,2.0,true,0.997587246325797,0.00010146826247613424,20,0.75
16,12,1,0.1,2.0,false,0.7836462422991108,0.0017623037473795615,20,0.75
16,12,1,0.1,2.0,true,0.9975243832513139,9.5667001400184e-5,20,0.75
16,12,1,0.31622776601683794,2.0,false,0.7824194789948733,0.001842339849301646,20,0.75
16,12,1,0.31622776601683794,2.0,true,0.9977664706924159,8.545466826293095e-5,20,0.75
16,12,1,0.5623413251903491,2.0,false,0.7762955583371742,0.00202743104920091,20,0.75
16,12,1,0.5623413251903491,2.0,true,0.9978582018604805,7.2922383006109e-5,20,0.75
16,12,1,1.0,2.0,false,0.7596237902200701,0.0019889145412489108,20,0.75
16,12,1,1.0,2.0,true,0.997665150935366,5.9767764699326483e-5,20,0.75
16,12,1,1.7782794100389228,2.0,false,0.700565337332655,0.0017197018447126708,20,0.75
